Timestamp,Container,CPU Usage,Memory Usage
2023-11-25 3:35,Visualizer,47.14%,297.5
2023-11-25 3:35,EVAM,16.69%,79.2
2023-11-25 3:40,Visualizer,47.46%,297.5
2023-11-25 3:40,EVAM,16.02%,87.83
2023-11-25 3:45,Visualizer,49.63%,297.5
2023-11-25 3:45,EVAM,14.24%,79.01
2023-11-25 3:50,Visualizer,46.19%,297.5
2023-11-25 3:50,EVAM,14.71%,78.92
2023-11-25 3:55,Visualizer,46.76%,297.5
2023-11-25 3:55,EVAM,15.74%,79
2023-11-25 4:00,Visualizer,48.45%,297.5
2023-11-25 4:00,EVAM,15.98%,79.01
2023-11-25 4:05,Visualizer,47.21%,297.5
2023-11-25 4:05,EVAM,15.79%,78.98
2023-11-25 4:10,Visualizer,48.37%,297.5
2023-11-25 4:10,EVAM,16.25%,79.08
2023-11-25 4:15,Visualizer,48.38%,297.5
2023-11-25 4:15,EVAM,15.55%,79.18
2023-11-25 4:20,Visualizer,49.35%,297.5
2023-11-25 4:20,EVAM,16.76%,79.15
2023-11-25 4:25,Visualizer,48.13%,297.5
2023-11-25 4:25,EVAM,15.14%,78.85
2023-11-25 4:31,Visualizer,49.88%,297.5
2023-11-25 4:31,EVAM,14.46%,79.01
2023-11-25 4:36,Visualizer,46.67%,297.5
2023-11-25 4:36,EVAM,15.93%,79.34
2023-11-25 4:41,Visualizer,47.58%,297.5
2023-11-25 4:41,EVAM,15.38%,79.22
2023-11-25 4:46,Visualizer,48.52%,297.5
2023-11-25 4:46,EVAM,16.20%,78.84
2023-11-25 4:51,Visualizer,47.67%,297.5
2023-11-25 4:51,EVAM,16.96%,83.14
2023-11-25 4:56,Visualizer,47.74%,297.5
2023-11-25 4:56,EVAM,16.26%,79.2
2023-11-25 5:01,Visualizer,37.70%,323.1
2023-11-25 5:01,EVAM,12.99%,87.77
2023-11-25 5:06,Visualizer,47.24%,323.1
2023-11-25 5:06,EVAM,15.38%,79.2
2023-11-25 5:11,Visualizer,46.84%,323.2
2023-11-25 5:11,EVAM,15.17%,79.05
2023-11-25 5:16,Visualizer,47.93%,323.2
2023-11-25 5:16,EVAM,15.67%,79
2023-11-25 5:21,Visualizer,47.22%,323.1
2023-11-25 5:21,EVAM,15.51%,79.2
2023-11-25 5:26,Visualizer,47.30%,323.2
2023-11-25 5:26,EVAM,16.13%,79.21
2023-11-25 5:31,Visualizer,48.37%,323.2
2023-11-25 5:31,EVAM,15.25%,79.13
2023-11-25 5:37,Visualizer,46.08%,323.1
2023-11-25 5:37,EVAM,16.28%,78.84
2023-11-25 5:42,Visualizer,46.15%,323.1
2023-11-25 5:42,EVAM,15.62%,79.28
2023-11-25 5:47,Visualizer,46.30%,323.2
2023-11-25 5:47,EVAM,15.98%,78.84
2023-11-25 5:52,Visualizer,50.03%,323.2
2023-11-25 5:52,EVAM,15.64%,78.98
2023-11-25 5:57,Visualizer,47.61%,323.2
2023-11-25 5:57,EVAM,16.84%,85.46
2023-11-25 6:02,Visualizer,45.76%,323.1
2023-11-25 6:02,EVAM,15.90%,78.91
2023-11-25 6:07,Visualizer,48.71%,323.1
2023-11-25 6:07,EVAM,14.85%,79.14
2023-11-25 6:12,Visualizer,46.37%,323.4
2023-11-25 6:12,EVAM,14.97%,79.71
2023-11-25 6:17,Visualizer,46.27%,323.4
2023-11-25 6:17,EVAM,14.53%,80.34
2023-11-25 6:22,Visualizer,47.78%,323.4
2023-11-25 6:22,EVAM,15.16%,80.28
2023-11-25 6:27,Visualizer,47.08%,323.4
2023-11-25 6:27,EVAM,15.51%,79.98
2023-11-25 6:32,Visualizer,47.39%,323.4
2023-11-25 6:32,EVAM,15.91%,80.03
2023-11-25 6:37,Visualizer,45.39%,323.4
2023-11-25 6:37,EVAM,16.03%,80.34
2023-11-25 6:42,Visualizer,49.55%,323.4
2023-11-25 6:42,EVAM,16.32%,79.98
2023-11-25 6:48,Visualizer,48.69%,323.4
2023-11-25 6:48,EVAM,15.87%,80.14
2023-11-25 6:53,Visualizer,46.85%,323.4
2023-11-25 6:53,EVAM,15.06%,80.13
2023-11-25 6:58,Visualizer,44.90%,323.4
2023-11-25 6:58,EVAM,13.98%,80.36
2023-11-25 7:03,Visualizer,49.49%,323.4
2023-11-25 7:03,EVAM,16.64%,87.7
2023-11-25 7:08,Visualizer,47.69%,323.4
2023-11-25 7:08,EVAM,17.05%,80.02
2023-11-25 7:13,Visualizer,50.01%,323.4
2023-11-25 7:13,EVAM,15.09%,80.46
2023-11-25 7:18,Visualizer,52.26%,323.4
2023-11-25 7:18,EVAM,16.88%,80.43
2023-11-25 7:23,Visualizer,53.43%,323.4
2023-11-25 7:23,EVAM,18.21%,80.41
2023-11-25 7:28,Visualizer,54.89%,323.4
2023-11-25 7:28,EVAM,16.38%,80.69
2023-11-25 7:33,Visualizer,55.46%,323.4
2023-11-25 7:33,EVAM,16.98%,80.73
2023-11-25 7:38,Visualizer,53.49%,323.4
2023-11-25 7:38,EVAM,17.12%,80.8
2023-11-25 7:43,Visualizer,55.81%,323.4
2023-11-25 7:43,EVAM,18.62%,89.03
2023-11-25 7:48,Visualizer,55.01%,323.4
2023-11-25 7:48,EVAM,17.51%,80.82
2023-11-25 7:53,Visualizer,60.68%,323.4
2023-11-25 7:53,EVAM,20.49%,82.26
2023-11-25 7:59,Visualizer,63.29%,323.4
2023-11-25 7:59,EVAM,20.18%,81.17
2023-11-25 8:04,Visualizer,65.39%,323.4
2023-11-25 8:04,EVAM,18.91%,81.92
2023-11-25 8:09,Visualizer,61.67%,323.4
2023-11-25 8:09,EVAM,19.86%,86.28
2023-11-25 8:14,Visualizer,59.62%,323.4
2023-11-25 8:14,EVAM,18.74%,81.16
2023-11-25 8:19,Visualizer,63.74%,323.4
2023-11-25 8:19,EVAM,18.67%,81.22
2023-11-25 8:24,Visualizer,66.56%,323.4
2023-11-25 8:24,EVAM,19.05%,81.26
2023-11-25 8:29,Visualizer,62.33%,323.4
2023-11-25 8:29,EVAM,18.14%,81.84
2023-11-25 8:34,Visualizer,62.63%,323.4
2023-11-25 8:34,EVAM,20.07%,81.83
2023-11-25 8:39,Visualizer,58.61%,323.4
2023-11-25 8:39,EVAM,18.32%,81.12
2023-11-25 8:44,Visualizer,63.35%,323.4
2023-11-25 8:44,EVAM,18.49%,81.14
2023-11-25 8:49,Visualizer,60.20%,323.4
2023-11-25 8:49,EVAM,18.24%,81.82
2023-11-25 8:54,Visualizer,64.75%,323.4
2023-11-25 8:54,EVAM,18.68%,82.12
